"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok - bodovi";"2. ispitni rok - prolaz";"2. ispitni rok - vrijeme";"3. ispitni rok - bodovi";"3. ispitni rok - prolaz";"3. ispitni rok - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"7d2dd790";55.0;2.0;"2024-08-28";24;"";"2024-02-13";35.0;"";"2024-02-22";35.0;"";"2024-07-10";55.0;"DA ";"2024-09-05";0.0;"";"2023-11-10"
"7d3b09ca";56.67;2.0;"2024-07-03";33;"";"2024-02-13";35.0;"";"2024-02-22";56.67;"DA ";"2024-07-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"7d6b9261";63.0;3.0;"2024-02-05";63;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"7e2f81c5";70.0;3.0;"2024-02-19";41;"";"2024-02-13";70.0;"DA ";"2024-02-22";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"7ed4faa4";63.0;3.0;"2024-02-05";63;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"7eeda231";52.0;2.0;"2024-02-05";52;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"7efe1a6f";58.0;3.0;"2024-02-05";58;"DA ";"2024-02-14";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"7f1ca5bc";"";"";"";8;"";"2024-02-08";1.67;"";"2024-02-24";30.0;"";"2024-07-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"7f2093a9";54.0;2.0;"2024-02-05";54;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"7f24ee52";50.0;2.0;"2024-02-05";50;"DA ";"2024-02-14";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
