"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok (ljetni) - bodovi";"2. ispitni rok (ljetni) - prolaz";"2. ispitni rok (ljetni) - vrijeme";"2. ispitni rok (jesenski) - bodovi";"2. ispitni rok (jesenski) - prolaz";"2. ispitni rok (jesenski) - vrijeme";"3. ispitni rok - bodovi";"3. ispitni rok - prolaz";"3. ispitni rok - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"2b3f7d9c";51.56;2.0;"2020-02-17";31;"";"2020-02-10";51.56;"DA ";"2020-02-19";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"2b6ab516";53.0;2.0;"2020-09-03";20;"";"2020-02-10";20.31;"";"2020-02-19";0.0;"";"2020-06-02";0.0;"";"2020-06-02";53;"DA ";"2020-09-08";0.0;"";"2020-09-09"
"2b8cf884";51.0;2.0;"2020-02-03";51;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"2c312b77";60.0;3.0;"2020-02-03";60;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"2c52f3fc";52.0;2.0;"2020-09-03";6;"";"2019-12-04";0.0;"";"2019-11-11";0.0;"";"2020-06-02";25.0;"";"2020-08-27";52;"DA ";"2020-09-08";0.0;"";"2020-09-09"
"2c8e8112";45.0;2.0;"2020-02-03";45;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"2cc7ad40";"";"";"";15;"";"2020-02-10";14.06;"";"2020-02-19";0.0;"";"2020-06-02";18.75;"";"2020-08-27";33;"";"2020-09-08";29.69;"";"2020-09-15"
"2cd8d361";47.0;2.0;"2020-09-03";25;"";"2020-02-10";23.44;"";"2020-02-19";34.38;"";"2020-07-06";0.0;"";"2020-06-02";47;"DA ";"2020-09-08";0.0;"";"2020-09-09"
"2d2d3dc4";67.19;3.0;"2020-02-17";37;"";"2020-02-10";67.19;"DA ";"2020-02-19";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"2dbd8cb5";45.31;2.0;"2020-08-24";6;"";"2019-12-04";0.0;"";"2019-11-11";0.0;"";"2020-06-02";45.31;"DA ";"2020-08-27";0;"";"2020-06-02";0.0;"";"2020-09-09"
"2df6d39c";53.0;2.0;"2020-02-03";53;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
